THETA,ALLPHA,LOW-BETA,HIGH_BETA,GAMMA
18.08241376,3.295210293,0.967823622,0.43886552,0.185964113
1.386877596,0.252924718,0.091760791,0.050143297,0.036155461
119.9272782,19.93025715,4.582675601,2.202026916,0.938518749
25.0205329,3.425120917,1.165075848,0.510986028,0.202156863
0.10735128,0.096377753,0.09574448,0.09314519,0.116827752
12.83925091,1.38668109,0.579962709,0.293164511,0.131849835
61.32026562,10.24322544,2.775448578,1.307376567,0.486350689
2.593216411,0.564875995,0.18123102,0.104464357,0.055688057
0.168619679,0.047919991,0.032233563,0.029383546,0.029699793
0.247959699,0.076900252,0.065548874,0.05432925,0.066477931
0.068550642,0.069178738,0.064233222,0.066393663,0.085734426
0.032973745,0.029186155,0.027721536,0.028353438,0.031459828
0.034980774,0.028916047,0.025424563,0.030971597,0.032987865
4.334697792,0.838611673,0.254954645,0.120643,0.061052362
17.58321207,2.877527587,0.779274218,0.38073192,0.175780266
