TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531215423,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.401398,10.390501,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.553313,0.553313,0,1,1,0.214967,1.438412,0.83099,3.656648,1,0.433801,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215433,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.405158,10.388245,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.521074,0.521074,0,1,1,0.299507,1.674918,0.832177,3.645933,1,0.370277,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215443,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.409298,10.38576,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.51433,0.51433,0,1,1,0.221801,1.45627,0.832177,3.645933,1,0.364334,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215453,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.413225,10.383404,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.503602,0.503602,0,1,1,0.565627,2.417595,0.835868,3.632281,1,0.318884,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215463,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.417138,10.381056,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.51659,0.51659,0,1,1,0.428723,2.034754,0.835868,3.632281,1,0.352396,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215474,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.421036,10.378717,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.591987,0.591987,0,1,1,0.808638,3.089756,0.848551,3.620132,1,0.456478,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215484,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.42492,10.376387,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.592814,0.592814,0,1,1,0.238497,1.509566,0.848551,3.620132,1,0.501848,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215494,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.428788,10.374066,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.578244,0.578244,0,1,1,0.497018,2.224166,0.853008,3.611778,1,0.456172,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215504,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.432643,10.371753,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.508696,0.508696,0,1,1,0,0.853008,0.853008,3.611778,1,0.371452,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215514,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.436483,10.369449,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.474396,0.474396,0,1,1,0.27152,1.591516,0.841563,3.603619,1,0.289883,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215524,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.440117,10.367269,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.469291,0.469291,0,1,1,0.136953,1.219836,0.841563,3.603619,1,0.291217,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215534,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.44393,10.364981,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.41131,0.41131,0,1,1,0.029156,0.922094,0.841563,3.603619,1,0.196979,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215544,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.447917,10.362589,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.383916,0.383916,0,1,1,0.134786,1.204641,0.831994,3.596717,1,0.140399,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215554,0.560504,-0.7156,-1.16,-0.35,0,0.651355,8.519587,5.4517,10.360319,0,0.302941,0.1,0,0.3,0,0,0,500,600,0,0.394234,0.394234,0,1,1,0.212983,1.409144,0.819119,3.589407,1,0.152625,4,2,4,4,0,4,4,4,0,0,0,0,0,4
