Theta,Alpha,Low_beta,High_beta,Gamma
0.062369698,0.07997503,0.045836137,0.035712093,0.031452587
0.269468243,0.341802575,0.173151998,0.124836426,0.115086794
0.392591315,0.631240789,0.257428136,0.169597318,0.131050601
0.598304723,0.645298977,0.385922288,0.298014511,0.227060284
0.440216313,0.445358288,0.328997504,0.319678678,0.340533735
0.195541931,0.190444154,0.164227475,0.177216099,0.208396489
0.426590194,0.660983443,0.433273504,0.35618593,0.362918375
0.629413755,1.377927051,0.697773205,0.434178138,0.352101747
0.752037629,1.442284802,0.976513894,0.969985831,0.728841449
0.893455032,1.716675997,0.680062905,0.440154937,0.343738865
0.693746795,1.391040952,0.47748104,0.317055896,0.245963851
0.133140645,0.247314809,0.098279331,0.0724038,0.059102226
0.467131613,0.728012288,0.264307463,0.189304951,0.157156819
0.071319988,0.102364251,0.046820695,0.036437375,0.034010701
,,,,
0.430380562,0.714337386,0.359291113,0.281482999,0.238386752
